"filename", "language", "JavaScript", "JSON", "HTML", "SCSS", "vue", "Batch", "Markdown", "YAML", "XML", "comment", "blank", "total"
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\tool\gen.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 86
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\404.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\bug.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\build.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\button.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\cascader.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\chart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\checkbox.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\clipboard.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\code.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\color.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\component.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\dashboard.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\date-range.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\date.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\dict.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\documentation.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\download.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\drag.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\druid.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\education.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\email.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\example.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\excel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\exit-fullscreen.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\eye-open.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\eye.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\form.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\fullscreen.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\github.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\guide.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\input.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\international.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\job.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\language.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\link.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\list.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\lock.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\log.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\logininfor.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\message.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\money.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\monitor.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\nested.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\number.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\online.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\password.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\pdf.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\people.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\peoples.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\phone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\post.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\qq.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\question.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\radio.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\rate.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\redis-list.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\redis.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\row.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\select.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\server.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\shopping.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\size.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\skill.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
